,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/temperature/0,/amdcpu/1/load/1,/amdcpu/1/load/2,/amdcpu/1/load/3,/amdcpu/1/load/4,/amdcpu/1/load/0,/amdcpu/1/clock/1,/amdcpu/1/clock/2,/amdcpu/1/clock/3,/amdcpu/1/clock/4,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/2/temperature/0,/hdd/2/load/0,/hdd/3/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Core #1 - #4","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Memory","Used Memory","Available Memory","GPU Core","GPU","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Temperature","Used Space","Used Space"
05/29/2019 18:37:47,20.3125,3.125,10.9375,1.5625,8.984375,3200.05151,3200.05151,3200.05151,3200.05151,34.5,6.25,4.6875,3.125,10.9375,6.25,3200.051,3200.051,3200.051,3200.051,50.234745,3.99556732,3.95822525,40,0,139,405.000031,278,15,12,0,0,4096,658.839844,3437.16016,16.0849571,37,32,56.2448769,59.80607
05/29/2019 18:37:48,4.6875,1.58730149,3.125,1.58730149,2.74677277,3200.05054,3200.05054,3200.05054,3200.05054,34.5,0,0,0,10.9375,2.734375,3200.05078,3200.05078,3200.05078,3200.05078,50.2332573,3.995449,3.95834351,40,0,139,405.000031,278,0,4,0,0,4096,653.464844,3442.53516,15.9537315,37,32,56.2448769,59.80607
05/29/2019 18:37:49,12.5,0,6.25,1.53846145,5.072117,3200.04932,3200.04932,3200.04932,3200.04932,34.5,0,3.125,1.5625,10.9375,3.90625,3200.05127,3200.05127,3200.05127,3200.05127,50.2270737,3.994957,3.9588356,40,0,139,405.000031,278,0,5,0,0,4096,653.464844,3442.53516,15.9537315,37,32,56.2448769,59.80607
05/29/2019 18:37:50,1.5625,3.076923,6.25,0,2.7223587,3200.05273,3200.05273,3200.05273,3200.05273,34.5,3.125,4.6875,3.125,7.8125,4.6875,3200.05127,3200.05127,3200.05127,3200.05127,50.1476479,3.98863983,3.96515274,40,0,139,405.000031,278,0,5,0,0,4096,653.464844,3442.53516,15.9537315,37,32,56.2448769,59.80607
05/29/2019 18:37:51,6.25,1.58730149,4.6875,0,3.131199,3200.05054,3200.05054,3200.05054,3200.05054,34.5,3.125,4.6875,0,14.0625,5.46875,3200.05029,3200.05029,3200.05029,3200.05029,50.16736,3.99020767,3.963585,40,0,139,405.000031,278,1,5,0,0,4096,653.902344,3442.09766,15.9644127,36,32,56.243206,59.80607
05/29/2019 18:37:52,4.6875,4.6875,3.125,1.5625,3.515625,3200.051,3200.051,3200.051,3200.051,34.5,1.5625,0,4.6875,3.125,2.34375,3200.051,3200.051,3200.051,3200.051,50.1748924,3.99080658,3.962986,40,0,139,405.000031,278,0,4,0,0,4096,659.152344,3436.84766,16.0925865,36,32,56.243206,59.80607
05/29/2019 18:37:53,1.5625,3.076923,3.125,1.53846145,2.32572556,3200.05054,3200.05054,3200.05054,3200.05054,34.25,3.125,0,0,6.25,2.34375,3200.05078,3200.05078,3200.05078,3200.05078,50.1744576,3.99077225,3.96302032,40,0,139,405.000031,278,0,5,0,0,4096,659.152344,3436.84766,16.0925865,36,32,56.243206,59.80607
05/29/2019 18:37:54,15.625,6.25,12.5,4.6875,9.765625,3200.05176,3200.05176,3200.05176,3200.05176,34.375,6.25,7.8125,7.8125,10.9375,8.203125,3200.05151,3200.05151,3200.05151,3200.05151,50.18141,3.99132538,3.96246719,40,0,139,405.000031,278,3,5,0,0,4096,655.839844,3440.16016,16.0117149,36,32,56.243206,59.80607
05/29/2019 18:37:55,46.875,23.4375,29.6875,14.0625,28.515625,3200.05225,3200.05225,3200.05225,3200.05225,35.25,26.5625,18.75,17.1875,21.875,21.09375,3200.052,3200.052,3200.052,3200.052,50.51819,4.018112,3.93568039,40,0,139,405.000031,278,9,8,0,0,4096,607.6211,3488.379,14.8344994,36,32,56.243206,59.80607
05/29/2019 18:37:56,31.25,25,39.0625,42.1875,34.375,3200.04883,3200.04883,3200.04883,3200.04883,36.25,17.1875,18.75,29.6875,37.5,25.78125,3200.051,3200.051,3200.051,3200.051,51.2274323,4.074524,3.87926865,40,0,139,405.000031,278,10,7,0,0,4096,634.0664,3461.93359,15.4801369,36,32,56.243206,59.80607
